"prioridade";"recomendacao";"esforco";"prontidao_atual";"volume_12m";"tabela";"categoria";"nome_atual";"nome_sugerido";"qtd_derivados";"derivados";"qtd_perguntas";"qtd_bloqueadores";"frases_exemplo";"justificativa";"sys_id"
"alta";"conversacional_com_ajustes";"medio";"30";"4081";"x_nasm_rtr_case";"Estoques e Custos";"Ajuste de Inventário e Ajuste Ciclico";"Solicitar ajuste de inventário";"0";"";"2";"2";"preciso ajustar o estoque depois do inventário | ajuste de inventário da filial | diferença de contagem no estoque, precisa ajustar | ajuste cíclico de estoque | lançar sobra e falta do inventário";"Volume alto (4.081 em 12 meses, rank 11). Bloqueado só pela variável v_template (Custom with Label com UI Macro e widget). O tipo tem default ""inventory_adjustment"" e uma policy o deixa read-only nesse valor, escondendo os seis campos do ajuste cíclico; na prática o item funciona só como ajuste de inventário. Removendo o template customizado e os campos cíclicos inacessíveis, a conversa fica com 2 perguntas mais anexo.";"565e078d1b2d6dd0a530426fe54bcbd2"
"alta";"conversacional_com_ajustes";"medio";"55";"3645";"x_nasm_ptp_case";"Pagamentos";"Conciliação Bancária - Saídas e Entradas de Fornecedores";"Solicitar conciliação bancária de fornecedor (entradas e saídas)";"0";"";"5";"0";"preciso compensar uma saída bancária do fornecedor | conciliar pagamento que saiu do banco com a conta do fornecedor | fornecedor devolveu dinheiro, precisa compensar a entrada | reclassificar movimento bancário de fornecedor | baixa de partida em aberto do fornecedor no banco";"Volume alto (3.645 em 12 meses, rank 12). Sem bloqueador e com poucas perguntas próprias (tipo de compensação, entrada/saída e aprovador). O client script que alterna os campos duplica as UI policies e pode sair. A descrição atual usa jargão (""reclassificação e compensação"") e precisa de exemplos.";"886b94a81be56150d1abda4ce54bcb80"
"alta";"conversacional_com_ajustes";"medio";"45";"3273";"x_nasm_hr_case";"Reembolsos";"Pedido de Reembolso de Energia Elétrica";"Pedir reembolso de energia elétrica";"0";"";"6";"3";"Quero pedir o reembolso da conta de luz | Reembolso da fatura de energia de março | Como envio minha conta de luz para reembolso? | reintegro de luz | mandar a boleta de electricidad | reembolso energia bimestral";"Maior volume do lote (3.273 no ano) e intenção única, com 6 perguntas próprias: periodicidade, número da fatura, mês, ano, valor e anexo. Não há bloqueador, mas 9 client scripts cuidam de lista de anos dinâmica, data composta, máscara de moeda e checagem de fatura duplicada via GlideAjax, e o total passa de 20 perguntas com o set. Levando essas regras para o servidor e para regex, a conversa fica curta e de alto ganho.";"457d24431bbc9a90514cbaef4b4bcb32"
"alta";"conversacional_com_ajustes";"medio";"50";"3046";"x_nasm_tax_case";"Fiscal";"Nota Fiscal Outras Saídas";"Solicitar nota fiscal de outras saídas (teste, transferência, evento, armazenagem)";"0";"";"6";"1";"Preciso de nota para mandar material para um evento | nota de transferência entre filiais | remessa para teste de produto | enviar produtos para armazém | nota fiscal para feira | NF de outras saídas";"Alto volume (3.046 em 12 meses). As operações (teste, transferência, eventos, armazenagem, outras) mudam só uma pergunta condicional, então não precisa dividir; a descrição deve listar as operações para o LLM achar o item. O client script ""EY: Tax Operation"" (sys_ids cravados) só controla rótulos de conformidade e links de template, que não chegam ao LLM.";"bc3db2bb1bf43910d1abda4ce54bcb55"
"alta";"manter_formulario";"baixo";"15";"3033";"x_nasm_finance_case";"RPE";"Solicitação de RPE";"Solicitar produtos acabados do estoque (RPE)";"0";"";"0";"5";"quero fazer um RPE | preciso pedir produtos do estoque para um evento | solicitar produtos acabados para amostra | abrir RPE para o meu centro de custo | pedido de produto do estoque para ação de marketing | como peço produtos Natura para uso interno?";"Item de maior volume do lote, mas bloqueado: variável Custom com widget de anexo obrigatório, multi-row variable set com a lista de produtos (grid), client script onChange que percorre as linhas do MRVS para exigir anexo acima de 1000 unidades, onSubmit que trava o envio e onLoad que deixa tudo read-only. É um formulário de pedido com tabela de itens, que não cabe em conversa. Manter como formulário e investir em nome e descrição para a VA encontrar e oferecer o link.";"4ca298e41b5ef910a530426fe54bcb82"
"alta";"conversacional_com_ajustes";"medio";"20";"3033";"x_nasm_hr_case";"Dúvidas, reclamações e sugestões relacionadas a benefícios";"Dúvidas, reclamações e sugestões relacionadas a benefícios";"Tirar dúvida ou reclamar sobre benefícios (Brasil)";"0";"";"3";"3";"meu vale-refeição não caiu | dúvida sobre o plano de saúde | quero incluir meu filho no plano odontológico | reclamação sobre o cartão alimentação | como funciona o auxílio-creche? | o reembolso do plano não foi pago";"Maior volume do lote (3.033/ano) e poucas perguntas reais (tipo, benefício, detalhe), mas bloqueado pelos dois widgets de busca Custom e por um client script sem VA Supported que remove opções pelo idioma. Os ajustes são pontuais e o ganho de atendimento conversacional é grande.";"b99630ca1b766d10a530426fe54bcba4"
"alta";"conversacional_com_ajustes";"baixo";"30";"2956";"x_nasm_hr_case";"Meus Pagamentos e Folha de Pagamento";"Informações ou dúvidas relacionadas à Folha de Pagamento";"Tirar dúvidas sobre a folha de pagamento";"0";"";"3";"2";"meu salário veio errado | tem um desconto no meu holerite que não entendi | não caiu minha PLR | dúvida sobre o desconto da pensão | o valor das horas extras está errado | por que meu líquido diminuiu esse mês?";"Alto volume (rank 18) e só 3 perguntas reais (tema, tipo e descrição). Está bloqueado apenas pelas variáveis Custom de busca contextual e AI Search Assist, que perdem sentido na conversa porque o próprio VA já busca na base de conhecimento. Removendo-as e limpando policies órfãs, fica pronto.";"6c0c3c2d1b902150a530426fe54bcb7c"
"alta";"dividir";"medio";"30";"2886";"x_nasm_hr_case";"Férias";"Devolução do Aviso de Férias";"Devolução do aviso de férias";"2";"Dar ciência das minhas férias programadas | Devolver aviso de férias da minha equipe";"0";"3";"dar ciência das minhas férias | devolver aviso de férias da equipe";"Segundo maior volume do lote. O item junta duas intenções: o colaborador dar ciência das próprias férias (1 data + confirmação, perfeito para conversa) e o gestor devolver o aviso da equipe com anexo do ADP e lista de colaboradores (set '(+) Adicionar Colaborador', provavelmente multi-row). O bloqueador é um script onSubmit sem VA Supported que inspeciona o DOM, e ele só existe no ramo do gestor.";"9869b07c1bbf1114d1abda4ce54bcb13"
"alta";"dividir";"alto";"5";"2148";"x_nasm_hr_case";"Assistência médica e odontológica";"Adesão, inclusão ou exclusão dos Benefícios de Assistência Médica e Odontológica";"Plano de saúde e odontológico: adesão, inclusão e exclusão";"4";"Aderir ao plano de saúde ou odontológico | Incluir dependente no plano de saúde ou odontológico | Excluir dependente ou cancelar plano de saúde ou odontológico | Trocar operadora do plano de saúde (força de vendas AVON)";"1";"5";"quero aderir ao plano de saúde | preciso incluir meu filho no convênio | como tiro minha esposa do plano odontológico | quero cancelar meu plano dental";"Item de maior volume do lote, mas com 142 perguntas, 95 UI policies, widgets Custom/HTML (mrv_macro_widget, benefit_description, benefit_description_value/2/3), client script onSubmit sem VA Supported e 60 anexos distribuídos em 10 variable sets 'Seção N'. O select registration_option mistura intenções diferentes (adesão do titular, inclusão de dependente, exclusão/cancelamento, troca de plano/operadora exclusiva AVON), cada uma com volume e perguntas próprias. Dividir por intenção é a única forma de caber no limite de perguntas e de o LLM casar a intenção.";"de3a6bbe1b4fb910a530426fe54bcb8c"
"alta";"dividir";"alto";"20";"1900";"x_nasm_hr_case";"Adesão, Alteração ou Cancelamento do Vale Transporte";"Adesão, Alteração ou Cancelamento do Vale Transporte";"Vale-transporte e fretado (adesão, alteração, cancelamento)";"4";"Aderir ao vale-transporte ou fretado | Alterar linhas do vale-transporte ou fretado | Cancelar vale-transporte ou fretado | Recusar vale-transporte (novo colaborador)";"0";"5";"quero aderir ao vale transporte | mudei de endereço e preciso trocar as linhas do VT | quero cancelar meu vale-transporte | sou novo e não quero vale transporte";"É o item de maior volume do lote e junta 4 intenções diferentes em v_select_option: adesão, alteração, cancelamento e 'novo colaborador que não quer aderir'. Cada uma é cruzada com 3 tipos de benefício (vale-transporte, fretado ou ambos). O resultado são 44 perguntas, 29 policies onLoad, um modal spModal sem VA Supported e 9 checkboxes de termo. Dividindo por intenção, o cancelamento fica trivial e a adesão e a alteração ficam enxutas.";"23094fd91bfab990d1abda4ce54bcb29"
"alta";"conversacional_com_ajustes";"medio";"45";"1821";"x_nasm_rtr_case";"Lançamentos Contábeis";"Estorno de Lançamento Contábil";"Solicitar estorno de lançamento contábil";"0";"";"7";"2";"Preciso estornar um lançamento contábil | estornar documento SAP 1900001234 | lançaram na conta errada, quero reverter | reverter lançamento do mês passado | solicitar estorno de partida contábil Avon";"Item de alto volume (1.821 em 12 meses) com uma intenção clara. Passa de 20 perguntas por causa do set de empresas e de dois sets multilinha de número de documento (um por empresa), controlados por 3 client scripts que repetem o que as UI policies já fazem. Com os sets multilinha trocados por perguntas simples e os scripts removidos, fica bom para conversa.";"0892543d1b2d2110a530426fe54bcb68"
"alta";"dividir";"medio";"45";"1716";"x_nasm_ptp_case";"Pagamentos";"Solicitação de Antecipação de Vencimento e Postergação";"Antecipar pagamento ou prorrogar vencimento (item original)";"2";"Solicitar antecipação de pagamento a fornecedor | Solicitar prorrogação de vencimento de pagamento";"0";"1";"antecipar pagamento de fornecedor | prorrogar vencimento de nota | mudar a data de pagamento da nota | postergar pagamento";"Volume alto (1.716 em 12 meses). O item mistura duas intenções opostas (antecipar pagamento e prorrogar vencimento) com dois checkboxes mutuamente exclusivos, o que a conversa não agrupa bem, e o aprovador só existe na antecipação. Dois itens casam melhor com o que o usuário pede e cada um fica com cerca de 8 perguntas.";"aef6af841b65e590a530426fe54bcb4c"
"alta";"conversacional_com_ajustes";"medio";"35";"1657";"x_nasm_hr_case";"Minha Família";"Reembolso Auxílio Creche ou Babá";"Pedir reembolso de auxílio-creche ou babá";"0";"";"7";"2";"quero pedir reembolso da creche | reembolso da babá de março | como mando o recibo da escolinha? | auxílio creche do meu filho | paguei a creche, onde peço o reembolso?";"Segundo maior volume do lote e com perguntas objetivas (mês, filho, data e valor pago, tipo de recibo, anexo). O bloqueio vem só do set Eligibilities Informative (Custom com widget + HTML). Também há checkbox de declaração, reference qualifier scriptado em childs_name e policies que apontam para variáveis inexistentes.";"f662d29e1ba2b810a530426fe54bcb8b"
"alta";"dividir";"alto";"30";"1627";"x_nasm_ptp_case";"HUB de Pagamentos";"Solicitação de compras descentralizadas";"Compras descentralizadas (até R$ 125 mil)";"2";"Solicitar requisição de compra descentralizada (PR ou CW) | Solicitar criação e aceite de folha de serviço (compra descentralizada)";"0";"4";"compra descentralizada | preciso fazer uma compra de até 125 mil";"Alto volume (1.627) e duas intenções distintas escolhidas em vs_type_of_request: criar requisição de compra (PR/CW, com template e anexos) e criar/aceitar folha de serviço (pedido, linha, datas, confirmação). Hoje são 60 perguntas, 30 delas select boxes de classificação da LC 116/2003 (uma por tipo de serviço) exibidas por script, além de um bloqueio de envio por vs_controller. Separando as intenções e consolidando as 30 classificações em uma referência, cada item cai para menos de 20 perguntas.";"5c8fbbfe1b754e90d1abda4ce54bcba5"
"alta";"dividir";"alto";"15";"1557";"x_nasm_ptp_case";"Consulta de Fornecedores";"Consulta de Fornecedores";"Consulta de pagamento a fornecedor (uso interno)";"3";"Consultar status ou comprovante de pagamento de nota fiscal (interno) | Solicitar composição de pagamento a fornecedor (interno) | Consultar ou corrigir lançamento de nota fiscal de fornecedor (interno)";"0";"4";"a nota fiscal do fornecedor já foi paga? | preciso do comprovante de pagamento de um fornecedor | o fornecedor quer saber a composição do pagamento | tem divergência no lançamento da nota | quando vai ser pago o fornecedor X?";"Versão interna (colaborador abrindo em nome de fornecedor) com volume alto. Tem 53 perguntas, 43 policies onLoad e 3 client scripts sem VA Supported (opções traduzidas por g_lang e texto-modelo de instruções). O item repete 5 blocos numerados de nota fiscal (pedido, documento, valor, pagamento, data, pedido de compra), e o v_type_of_query junta intenções com dados diferentes. Dividir em 3 itens por grupo de dados e trocar os 5 blocos por um campo de lista resolve o volume de perguntas. Uma policy 'sempre' deixa quase tudo read-only, o que faria a conversa pular tudo.";"1ccb68a91bdf0a10d1abda4ce54bcb5c"
"alta";"manter_formulario";"baixo";"10";"1514";"x_nasm_hr_case";"Seguro de Vida";"Designação de beneficiários do seguro de vida";"Designar ou alterar beneficiários do seguro de vida";"0";"";"0";"3";"quero mudar os beneficiários do meu seguro de vida | incluir minha esposa como beneficiária | designação de beneficiários | como indico quem recebe o seguro de vida? | trocar percentual dos beneficiários do seguro";"Alto volume, mas o item é um formulário legal da seguradora: multi-row de beneficiários com validação de percentual, assinatura eletrônica por widget custom (show_signature), geração de PDF (screen_height) e declarações longas. Nada disso tem equivalente conversacional seguro. Manter como formulário, com nome e descrição fortes para a VA encontrar e oferecer o link.";"8cef1bd81b68c290a530426fe54bcb73"
"alta";"conversacional_com_ajustes";"baixo";"65";"1513";"x_nasm_tax_case";"Fiscal";"Emissão de Notas de Venda de Mercadoria";"Solicitar nota fiscal de venda de mercadoria";"0";"";"2";"1";"Preciso emitir nota de venda de matéria-prima | nota fiscal de venda para outra empresa | vender mercadoria para fornecedor | emitir NF de venda | faturar venda de insumo";"Bom volume (1.513 em 12 meses) com só 4 perguntas e nenhum bloqueador. O nome diz ""mercadoria"" e a descrição diz ""matéria-prima"": unificar. O rótulo de template obrigatório vai para a KB.";"0a7fd2331b343910d1abda4ce54bcbc2"
"alta";"dividir";"alto";"25";"1503";"x_nasm_hr_case";"Férias";"Solicitações Relacionadas a Férias";"Outras solicitações sobre férias";"3";"Registrar férias | Cancelar férias registradas | Vender dias de férias";"2";"4";"tenho uma dúvida sobre minhas férias | quero saber quantos dias de férias eu tenho | meu pagamento de férias veio errado | preciso corrigir o período das minhas férias | consulta sobre férias";"Item de maior volume do lote (1503 em 12 meses) que mistura três intenções bem diferentes no v_category (registrar férias, cancelar férias e vender dias), cada uma com perguntas e anexos próprios, além de categorias genéricas. Tem 33 perguntas (acima do limite de 20 da VA) e um client script sem VA Supported que monta as opções de categoria. Separar por intenção reduz cada item a 4–8 perguntas e deixa o nome casar com o que o colaborador pede.";"43b02a8c3bf8da50924d0247f4e45a51"
"alta";"conversacional_com_ajustes";"baixo";"25";"1369";"x_nasm_hr_case";"Férias";"Informações ou dúvidas relacionadas à Férias";"Tirar dúvida sobre férias (Brasil)";"0";"";"3";"2";"dúvida sobre minhas férias | posso vender 10 dias de férias? | quando cai o pagamento das férias? | como funcionam as férias coletivas? | não consigo programar férias no ADP | tenho férias vencendo, o que faço?";"Alto volume, 3 perguntas (tipo, tema, detalhe), bloqueado só pelos widgets de busca Custom. Removendo-os, tirando as policies órfãs e levando os textos por tema para a descrição/KB, fica pronto para conversar.";"b4e12da91bdc2150a530426fe54bcb1a"
"alta";"dividir";"alto";"30";"1267";"x_nasm_finance_case";"Varejo e Fechamento de Caixa";"Solicitação para tratativa de caixa Lojas";"Tratativa de caixa das lojas";"3";"Solicitar cancelamento de venda na loja | Confirmar depósito de venda corporativa da loja | Solicitar ajuste de caixa da loja";"0";"3";"preciso de tratativa de caixa da loja";"Maior volume do lote e 27 perguntas. v_request_type junta assuntos diferentes: cancelamento de venda (com ramo cartão x Pix e 6 dados de transação), confirmação de venda corporativa, ajuste de caixa, nota falsa e prestação de contas. A descrição atual fala só de ""confirmação de depósitos em vendas corporativas"", o que confunde o LLM. Dividir em 3 itens deixa cada conversa com 5 a 12 perguntas.";"ba93972d1b002d58a530426fe54bcbfe"
"alta";"conversacional_com_ajustes";"medio";"35";"1173";"x_nasm_hr_case";"Vale Alimentação e Vale Refeição";"Alteração de Vale Refeição - VR, Alimentação - VA";"Alterar Vale-Refeição ou Vale-Alimentação";"0";"";"4";"3";"quero trocar meu VR por VA | mudar meu vale-refeição para vale-alimentação | quero colocar mais valor no vale-alimentação | como altero meu benefício de alimentação? | quero aderir ao vale-refeição";"Volume alto (1.173 em 12 meses) e poucas perguntas reais: tipo de operação, opção desejada e dois aceites. Está bloqueado por dois client scripts sem VA Supported: um detecta o portal e o outro esconde os ícones do List Collector pelo DOM. Há também um onLoad com GlideAjax para o ADP que preenche os benefícios atuais. Sem os scripts de interface e com os checkboxes virando Yes/No, a conversa fica com 4 perguntas.";"d9a39a1e1b2ab810d1abda4ce54bcb4b"
"alta";"conversacional_com_ajustes";"alto";"15";"1114";"x_nasm_hr_case";"Reembolsos";"Solicitação de reembolso de creche ou berço";"Pedir reembolso de creche ou berçário";"0";"";"10";"5";"Quero pedir o reembolso da creche do mês passado | Reembolso do berçário da minha filha | Como envio a fatura da creche? | reintegro de guardería | reembolso da babá do meu filho | sala cuna reembolso";"Volume alto (1.114 no ano) e intenção clara, mas o item está bloqueado: widget Custom (mrv_monitor), MRVS ""Dados para fazer seu reembolso"" com scripts sem VA Supported (inclusive sessionStorage e leitura do formulário pai), 3 anexos por país e 32 perguntas. A proposta é reestruturar para um pedido por filho e por mês, trazendo os campos da MRVS para variáveis simples e movendo histórico e validações para o servidor.";"ab9d37c11b0d5ad0514cbaef4b4bcb23"
"alta";"conversacional_com_ajustes";"medio";"50";"1066";"x_nasm_finance_case";"Tratativa de pedidos e pagamento de vendas";"Regularização de Título em aberto/duplicidade - Cartão ou Pix";"Regularizar título em aberto ou pago em duplicidade no cartão ou Pix";"0";"";"11";"1";"a consultora pagou no Pix e o título continua em aberto | pagamento em duplicidade no cartão | cliente pagou duas vezes o mesmo pedido | título não baixou depois do pagamento no cartão | franqueado pagou o Pix em dobro";"Alto volume e intenção clara, sem descrição. As 18 perguntas podem cair para ~11: há pares de variáveis que só existem por perfil (CPF x CNPJ, consultora x franqueado para nome, código e e-mail). opened_by é preenchido por client script onLoad e deve virar default. A evidência obrigatória é só uma label; precisa virar pedido de anexo.";"5f13e4311bbfd154d1abda4ce54bcb3e"
"alta";"conversacional_com_ajustes";"medio";"45";"1054";"x_nasm_finance_case";"Tratativa de pedidos e pagamento de vendas";"Conciliação Bancária - Entradas Cobrança";"Solicitar conciliação bancária de recebimentos (reclassificação e compensação)";"0";"";"1";"2";"preciso reclassificar um recebimento na conta do cliente | compensação bancária de entrada de cobrança | depósito entrou na conta errada, preciso conciliar | conciliação bancária de recebimentos | reclassificar crédito recebido no banco";"Alto volume e poucas perguntas próprias. As duas variáveis do item (compensation_type e v_approver) estão como somente leitura e obrigatórias, ou seja, são fixas e não deveriam ser perguntadas; o template vem de um Rich Text obrigatório. O peso está no set ""EY VS - Empresas Natura"" (8 variantes de sub-empresa e 8 scripts GlideAjax de país), cuja correção é da análise de sets, mas afeta diretamente este item.";"c0aea2511b405a50514cbaef4b4bcbcb"
"alta";"dividir";"alto";"5";"1044";"x_nasm_hr_case";"Seguro de Vida";"Seguro de Vida Complementar";"Seguro de vida complementar";"3";"Aderir ao seguro de vida complementar | Registrar não adesão ao seguro de vida complementar | Cancelar o seguro de vida complementar";"0";"4";"quero contratar o seguro de vida complementar | não quero aderir ao seguro de vida complementar | cancelar meu seguro de vida complementar";"Um único formulário com 136 variáveis e 51 UI policies atende três intenções pelo type_of_request: aderir, não aderir e cancelar. A adesão tem declaração pessoal de saúde de 13 perguntas para titular e cônjuge, simulador de desconto, beneficiários em multi-row, assinatura por widget e dados de saúde sensíveis: deve continuar formulário e sem LLM. Não aderir e cancelar são pedidos de uma confirmação e podem ser conversacionais, tirando boa parte do volume do formulário pesado.";"f8ba73ef1b444610d1abda4ce54bcba0"
